ופקיד וּפַקֵּּ[י]ד:ס=שפיקד
ולא וְְלָא:סתם=ולא
ולהיט וְְלָהֵ[י]ט:ס
ולית וְְלֵית:ס=ואין
ולעתיק וּלְעַתִּּיק=ס:ולעתיק
ולרבי וּלְרִבִּּי:ס
ומלייא וּמַלְְּּיָ[י]א:ס
ומניה וּמִנֵּּ[י]הּ:ס
ונגיד וְְנָגֵ[י]ד:ס
ונהיר וְְנָהֵ[י]ר:ס
ונטיף וְְנָטֵ[י]ף:ס
ונסב וּנְְסַב:ס=ולקח
ונפיק וְְנָפֵיק:ס
וסלקין וְְסָלְקִין:ס=ועולים
ועאלו וְְעָאלוּ:ס=ונכנסו
ועד וְְעַד:ס
ופתח וּפְְתַח:ס
וצלי וּצְְלִי:מילת-קישור(ו)+פעל(צלי),שניי,זכר,יחיד,ציווי=ופלל|מילת-קישור(ו)+פעל(צלי),שני,נקבה,יחיד,ציווי=ופללי|מילת-קישור(ו)+פעל(צלי),שלישי,זכר,יחיד,עבר=ופלל
ורבי וְְרִבִּּי:שם-עצם,זכר,יחיד=ורבי
ורומחי וְְרוּמְחֵי:שם-עצם(רומחא),זכר,רבים=וחרבות
זעירין זְְעֵירִין:סתם=זעירים
זקפו זְְקַפוּ:ס=זקפו
חברייא חַבְרַיָּּ[י]א:שם-עצם,זכר,רבים=החברים
חזקיה חִזְקִיָּּה:ס=חזקיה
חיוור חִיוָּּ[ו]ר:ס
חיי חַיֵּּי:שם-עצם,זכר,רבים=החיים
חייא חִיָּּ[י]א:ס=חייא
טלא טַלָּּא:שם-עצם(טל),זכר,יחיד=טל
טמירא טְְמִירָא:ס
ידוהי יְְדוֹהִי:שם-עצם(ידא),זכר,רבים=ידיו
ידייהו יְְדַיְ[י]הוּ:שם-עצם(ידא),זכר,רבים=ידיו
ידין יְְדִין:שם-עצם(ידא),נקבה,רבים=ידיים
ידיע יְְדִֽיעַ:ס
יהבו יְְהַבוּ:ס=נתנו
יהודה יְְהוּדָה:ס=יהודה
ישווי יִשְְׁוֵ[ו]י:פעל(שוי),שני,זכר,יחיד,עתיד=ישים
יתיב יְְתִיב:ס=ישב
כהאי כְְּהַאי:ס
כחד כְְּחַד:ס
כחיזרא כְְּחִיזְרָא:שם-עצם,זכר,יחיד=כקנה
כליה כֻּלֵּּ[י]הּ:ס
כללא כְְּלָלָא:ס=הכלל
כמה כַּמָּּה:ס=כמה
כסו כְְּסוּ:ס
כתיב כְְּתִיב:ס=כוב
לאכפייא לְְאַכְפְְּיָ[י]א:ס
לאן לְְאָן:סתם=לאיזה
לבי לְְבֵי:שם-עצם,זכר,יחיד=לבית
לבר לְְבַר:ס
לגלאה לְְגַלָּּאָה:ס=לגלות
לדא לְְדָא:ס=לזה
לההוא לְְהַהוּא:ס
להו לְְהוּ:ס=להם
להיט לָהֵ[י]ט:ס
לחברייא לְְחַבְרַיּּ[י]א:סתם=לחברים
לחובא לְְחוֹבָא:שם-עצם,זכר,יחיד=לחטא
לחקלא לְְחַקְלָא:שם-עצם,זכר,יחיד=לשדה
ליה לֵ[י]הּ:ס=לו
לכון לְְכוֹן:ס
למאן לְְמַאן:ס=למי
למגזר לְְמִגְזַר:ס=לגזור
למימר לְְמֵימַר:ס=לאמור
למכתב לְְמִכְתַּב:ס
למלאכין לְְמַלְאֲכִין:שם-עצם(מלאכא),זכר,רבים=למלאכים
למשמע לְְמִשְׁמַע:ס=לשמוע
למתאן לְְמָאתַן:ס
לעילא לְְעֵ[י]לָּּא:שם-עצם,זכר,יחיד=למעלה
לעלמא לְְעָלְמָא:שם-עצם,זכר,יחיד=לעולם
לעתיק לְְעַתִּּיק:ס
לצדיקייא לְְצַדִּּיקַיָּּ[י]א:שם-עצם(צדיקא),זכר,רבים=לצדיקים
לקדישי לְקַדִּּישֵׁי:שם-עצם(קדישא),זכר,רבים=לקדושים
לרבי לְְרִבִּּי:שם-עצם,זכר,יחיד=לרבי
